"","x","y","type"
"659","3.1","8.3","diagDot"
"660","9.4","11","diagDot"
"661","13.2","14.1","diagDot"
"662","3.9","0.4","diagDot"
"663","1.6","1.5","diagDot"
"664","10.7","10.5","diagDot"
"665","10.7","12.4","diagDot"
"666","10.4","10.9","diagDot"
"667","4.3","12.9","diagDot"
"668","3.8","10","diagDot"
"669","3.2","3.1","diagDot"
"670","6.9","12","diagDot"
"671","2.9","2.4","diagDot"
"672","3.4","13.1","diagDot"
"673","7.2","14.7","diagDot"
"674","3.3","3.3","diagDot"
"675","3.5","3.2","diagDot"
"676","1.2","14.3","diagDot"
"677","0.3","6","diagDot"
"678","0.1","0.1","diagDot"
"679","7.6","7.8","diagDot"
"680","10.3","10.8","diagDot"
"681","3.3","3.8","diagDot"
"682","10.9","9.9","diagDot"
"683","4","3.1","diagDot"
"684","3.2","4.4","diagDot"
"685","6.3","4.4","diagDot"
"686","11.9","9.7","diagDot"
"687","1","0.9","diagDot"
"688","2.6","10.8","diagDot"
"689","0.9","1","diagDot"
"690","10.8","9.6","diagDot"
"691","2.7","11.1","diagDot"
"692","7","7.4","diagDot"
"693","9.5","2.2","diagDot"
"694","0.1","0.1","diagDot"
"695","3.3","5.5","diagDot"
"696","8.8","4","diagDot"
"697","3.8","8.7","diagDot"
"698","7.7","7.7","diagDot"
"699","12.2","10.5","diagDot"
"700","3.3","7.2","diagDot"
"701","3.5","4.7","diagDot"
"702","3.3","6.4","diagDot"
"703","12","12.4","diagDot"
"704","1.4","6.8","diagDot"
"705","4.4","4.2","diagDot"
"706","4","5.5","diagDot"
"707","1.9","3.3","diagDot"
"708","14.7","14.8","diagDot"
"709","6.7","1.1","diagDot"
"710","10.7","10.6","diagDot"
"711","2.2","5.3","diagDot"
"712","11.1","11","diagDot"
"713","11","10.5","diagDot"
"714","3.4","14.1","diagDot"
"715","10.5","10.5","diagDot"
"716","10.5","10.5","diagDot"
"717","10.5","10.5","diagDot"
"718","1.7","13.2","diagDot"
"719","1.6","2","diagDot"
"720","4.5","0.7","diagDot"
"721","2.4","4.6","diagDot"
"722","2","4.9","diagDot"
"723","4.2","3.9","diagDot"
"724","4","4.2","diagDot"
"725","10.6","10.5","diagDot"
"726","3.2","4.6","diagDot"
"727","3.2","3.1","diagDot"
"728","7.1","7.9","diagDot"
"729","1.5","10.9","diagDot"
"730","10.5","10.5","diagDot"
"731","14.1","14.3","diagDot"
"732","4.3","1.6","diagDot"
"733","3.8","4.4","diagDot"
"734","6.2","6.6","diagDot"
"735","4.9","13.9","diagDot"
"736","2.7","5.1","diagDot"
"737","11.1","5.8","diagDot"
"738","4.9","9.7","diagDot"
"739","14","14","diagDot"
"740","2.9","5.6","diagDot"
"741","5.2","9.8","diagDot"
"742","0.3","3","diagDot"
"743","8","5.8","diagDot"
"744","0.8","0.2","diagDot"
"745","3.2","3.8","diagDot"
"746","10.1","10.8","diagDot"
"747","2.7","0.6","diagDot"
"748","3.7","10.3","diagDot"
"749","12.6","11.6","diagDot"
"750","4.6","10.7","diagDot"
"751","3.7","7.1","diagDot"
"752","0.1","0.1","diagDot"
"753","6","12.9","diagDot"
"754","5","10.4","diagDot"
"755","4.2","4.2","diagDot"
"756","5.1","5.7","diagDot"
"757","4.4","4.3","diagDot"
"758","10.1","10.4","diagDot"
"759","4.3","4.2","diagDot"
"760","3.2","5.8","diagDot"
"761","0.1","14.9","diagDot"
"762","9.7","8.7","diagDot"
"763","6.9","3.8","diagDot"
"764","2.6","6.9","diagDot"
"765","8.6","10.6","diagDot"
"766","3.9","3.9","diagDot"
"767","0.2","0.2","diagDot"
"768","1.8","13.1","diagDot"
"769","0.8","8.2","diagDot"
"770","4.2","3.8","diagDot"
"771","4.9","3.4","diagDot"
"772","9.8","11","diagDot"
"773","3.5","2.7","diagDot"
"774","9.7","10.4","diagDot"
"775","0.2","0.2","diagDot"
"776","1.8","4.8","diagDot"
"777","9.9","2.7","diagDot"
"778","3.1","6.6","diagDot"
"779","11","10.3","diagDot"
"780","1.8","1.5","diagDot"
"781","8.1","11.8","diagDot"
"782","10.4","4","diagDot"
"783","2.1","12.3","diagDot"
"784","4.6","4.3","diagDot"
"785","14.4","0.5","diagDot"
"786","0.3","14.7","diagDot"
"787","8.2","5.4","diagDot"
"788","3.7","7.2","diagDot"
"789","13.2","3.2","diagDot"
"790","14.6","14.7","diagDot"
"791","2.8","5.4","diagDot"
"792","5.9","5.4","diagDot"
"793","4.6","3.9","diagDot"
"794","4.3","4.6","diagDot"
"795","0.4","14.4","diagDot"
"796","10.7","10.7","diagDot"
"797","3.9","2.8","diagDot"
"798","3.1","4.5","diagDot"
"799","1.6","1.8","diagDot"
"800","6.1","5.2","diagDot"
"801","0.7","14.8","diagDot"
"802","8.4","10.6","diagDot"
"803","5.8","4.2","diagDot"
"804","4.3","8.7","diagDot"
"805","8.5","0.7","diagDot"
"806","3.9","10.8","diagDot"
"807","5","5","diagDot"
"808","3.4","5.4","diagDot"
"809","3.9","4","diagDot"
"810","5.6","5.1","diagDot"
"811","3.2","2.8","diagDot"
"812","12.7","1.8","diagDot"
"813","3.2","13.7","diagDot"
"814","2.1","6.8","diagDot"
"815","4.2","10.7","diagDot"
"816","10.8","10.5","diagDot"
"817","4.5","10.5","diagDot"
"818","0.2","14.8","diagDot"
"819","10.7","10.7","diagDot"
"820","2.2","2.8","diagDot"
"821","7.5","0.2","diagDot"
"822","3.2","4.1","diagDot"
"823","2.4","10.5","diagDot"
"824","1.9","13.7","diagDot"
"825","4.2","6.6","diagDot"
"826","7.5","8","diagDot"
"827","11.6","2.2","diagDot"
"828","10.4","10.5","diagDot"
"829","0.6","0.4","diagDot"
"830","7.5","7.9","diagDot"
"831","0.2","0.2","diagDot"
"832","7.6","7.6","diagDot"
"833","1.6","7.1","diagDot"
"834","5.8","6","diagDot"
"835","3.8","5.7","diagDot"
"836","2","0.4","diagDot"
"837","3.7","4","diagDot"
"838","1.6","7","diagDot"
"839","3","6.8","diagDot"
"840","3.2","4.4","diagDot"
"841","14.7","14.8","diagDot"
"842","9.1","0.8","diagDot"
"843","8.6","6.6","diagDot"
"844","3.4","9.6","diagDot"
"845","7.1","7.3","diagDot"
"846","10.4","9.9","diagDot"
"847","1.6","6.4","diagDot"
"848","2.9","4.2","diagDot"
"849","8.4","5.8","diagDot"
"850","6.4","7.3","diagDot"
"851","1","12.9","diagDot"
"852","3.5","7.9","diagDot"
"853","3.6","12.7","diagDot"
"854","13.7","9.4","diagDot"
"855","2.8","7.7","diagDot"
"856","2.6","2.7","diagDot"
"857","2.3","12","diagDot"
"858","0.7","14.1","diagDot"
"859","3.1","3","diagDot"
"860","3.1","6.8","diagDot"
"861","8.2","6.7","diagDot"
"862","14.9","10.5","diagDot"
"863","5.8","9.2","diagDot"
"864","2","9.1","diagDot"
"865","2","2","diagDot"
"866","3.6","4.1","diagDot"
"867","10.5","10.7","diagDot"
"868","2.1","6","diagDot"
"869","10.8","10.6","diagDot"
"870","3.7","3.7","diagDot"
"871","10.7","10.5","diagDot"
"872","0.2","0.2","diagDot"
"873","12.1","14.1","diagDot"
"874","4","3.9","diagDot"
